  Game.cpp
D:\GitHub\Asteroids\GameTemplate\Game.cpp(52,18): warning C4305: 'initializing': truncation from 'double' to 'float'
D:\GitHub\Asteroids\GameTemplate\Game.cpp(74,12): warning C4244: 'argument': conversion from 'time_t' to 'unsigned int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(81,57): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(81,33): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(88,56): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(88,32): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(88,86): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(146,59): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(146,35): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(146,88): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(219,76): warning C4244: 'argument': conversion from 'size_t' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(225,51): warning C4244: '+=': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(226,51): warning C4244: '+=': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(229,79): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(229,37): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(233,73): warning C4244: '+=': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(234,73): warning C4244: '+=': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(257,46): warning C4244: 'argument': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(257,32): warning C4244: 'argument': conversion from 'double' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(259,29): warning C4244: '=': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(323,13): warning C4244: 'argument': conversion from 'int' to 'float', possible loss of data
D:\GitHub\Asteroids\GameTemplate\Game.cpp(323,12): warning C4244: '=': conversion from 'float' to 'int', possible loss of data
